"","date","value","Pmm"
"156","2015-03-06T00:00:00",104,10.4
"157","2015-03-07T00:00:00",0,0
"158","2015-03-08T00:00:00",0,0
"159","2015-03-09T00:00:00",15,1.5
"160","2015-03-10T00:00:00",56,5.6
"161","2015-03-11T00:00:00",20,2
"162","2015-03-12T00:00:00",30,3
"163","2015-03-13T00:00:00",5,0.5
"164","2015-03-14T00:00:00",91,9.1
"165","2015-03-15T00:00:00",10,1
"166","2015-03-16T00:00:00",0,0
"167","2015-03-17T00:00:00",0,0
"168","2015-03-18T00:00:00",0,0
"169","2015-03-19T00:00:00",23,2.3
"170","2015-03-20T00:00:00",84,8.4
"171","2015-03-21T00:00:00",0,0
"172","2015-03-22T00:00:00",0,0
"173","2015-03-23T00:00:00",104,10.4
"174","2015-03-24T00:00:00",0,0
"175","2015-03-25T00:00:00",0,0
"176","2015-03-26T00:00:00",36,3.6
"177","2015-03-27T00:00:00",46,4.6
"178","2015-03-28T00:00:00",0,0
"179","2015-03-29T00:00:00",0,0
"180","2015-03-30T00:00:00",127,12.7
"181","2015-03-31T00:00:00",0,0
"182","2015-04-01T00:00:00",0,0
"183","2015-04-02T00:00:00",0,0
"184","2015-04-03T00:00:00",15,1.5
"185","2015-04-04T00:00:00",173,17.3
"186","2015-04-05T00:00:00",0,0
"187","2015-04-06T00:00:00",0,0
"188","2015-04-07T00:00:00",229,22.9
"189","2015-04-08T00:00:00",46,4.6
"190","2015-04-09T00:00:00",0,0
"191","2015-04-10T00:00:00",0,0
"192","2015-04-11T00:00:00",66,6.6
"193","2015-04-12T00:00:00",0,0
"194","2015-04-13T00:00:00",3,0.3
"195","2015-04-14T00:00:00",145,14.5
"196","2015-04-15T00:00:00",38,3.8
"197","2015-04-16T00:00:00",165,16.5
"198","2015-04-17T00:00:00",41,4.1
"199","2015-04-18T00:00:00",30,3
"200","2015-04-19T00:00:00",102,10.2
"201","2015-04-20T00:00:00",277,27.7
"202","2015-04-21T00:00:00",41,4.1
"203","2015-04-22T00:00:00",0,0
"204","2015-04-23T00:00:00",3,0.3
"205","2015-04-24T00:00:00",0,0
"206","2015-04-25T00:00:00",38,3.8
"207","2015-04-26T00:00:00",56,5.6
"208","2015-04-27T00:00:00",0,0
"209","2015-04-28T00:00:00",0,0
"210","2015-04-29T00:00:00",0,0
"211","2015-04-30T00:00:00",0,0
"212","2015-05-01T00:00:00",20,2
"213","2015-05-02T00:00:00",0,0
"214","2015-05-03T00:00:00",0,0
"215","2015-05-04T00:00:00",0,0
"216","2015-05-05T00:00:00",0,0
"217","2015-05-06T00:00:00",0,0
"218","2015-05-07T00:00:00",0,0
"219","2015-05-08T00:00:00",0,0
"220","2015-05-09T00:00:00",130,13
"221","2015-05-10T00:00:00",0,0
"222","2015-05-11T00:00:00",10,1
"223","2015-05-12T00:00:00",56,5.6
"224","2015-05-13T00:00:00",0,0
"225","2015-05-14T00:00:00",0,0
"226","2015-05-15T00:00:00",0,0
"227","2015-05-16T00:00:00",0,0
"228","2015-05-17T00:00:00",5,0.5
"229","2015-05-18T00:00:00",0,0
"230","2015-05-19T00:00:00",8,0.8
"231","2015-05-20T00:00:00",0,0
"232","2015-05-21T00:00:00",3,0.3
"233","2015-05-22T00:00:00",0,0
"234","2015-05-23T00:00:00",0,0
"235","2015-05-24T00:00:00",0,0
"236","2015-05-25T00:00:00",0,0
"237","2015-05-26T00:00:00",130,13
"238","2015-05-27T00:00:00",66,6.6
"239","2015-05-28T00:00:00",0,0
"240","2015-05-29T00:00:00",10,1
"241","2015-05-30T00:00:00",0,0
"242","2015-05-31T00:00:00",3,0.3
"243","2015-06-01T00:00:00",25,2.5
"244","2015-06-02T00:00:00",241,24.1
"245","2015-06-03T00:00:00",150,15
"246","2015-06-04T00:00:00",53,5.3
"247","2015-06-05T00:00:00",71,7.1
"248","2015-06-06T00:00:00",0,0
"249","2015-06-07T00:00:00",0,0
"250","2015-06-08T00:00:00",0,0
"251","2015-06-09T00:00:00",244,24.4
"252","2015-06-10T00:00:00",0,0
"253","2015-06-11T00:00:00",0,0
"254","2015-06-12T00:00:00",13,1.3
"255","2015-06-13T00:00:00",132,13.2
"256","2015-06-14T00:00:00",0,0
"257","2015-06-15T00:00:00",0,0
"258","2015-06-16T00:00:00",0,0
"259","2015-06-17T00:00:00",0,0
"260","2015-06-18T00:00:00",523,52.3
"261","2015-06-19T00:00:00",3,0.3
"262","2015-06-20T00:00:00",25,2.5
"263","2015-06-21T00:00:00",18,1.8
"264","2015-06-22T00:00:00",0,0
"265","2015-06-23T00:00:00",0,0
"266","2015-06-24T00:00:00",0,0
"267","2015-06-25T00:00:00",0,0
"268","2015-06-26T00:00:00",0,0
"269","2015-06-27T00:00:00",36,3.6
"270","2015-06-28T00:00:00",56,5.6
